Area,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape-revised definition,Rape-legacy definition,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
United States Total,2015,320896618,1234183,15883,126134,91261,328109,764057,8024115,1587564,5723488,713063
,2016,323127513,1283058,17250,130603,95730,332198,803007,7919035,1515096,5638455,765484
,Percent change,,4,8.6,3.5,4.9,1.2,5.1,-1.3,-4.6,-1.5,7.4
Northeast,2015,56184737,180474,1967,16415,11912,56202,105890,951940,157910,737087,56943
,2016,56209510,178244,1955,16651,12219,53033,106605,909897,142720,709721,57456
,Percent change,,-1.2,-0.6,1.4,2.6,-5.6,0.7,-4.4,-9.6,-3.7,0.9
New England,2015,14710229,42121,326,4602,3374,9629,27564,257073,46260,193051,17762
,2016,14735525,41598,292,4505,3328,9407,27394,243769,42095,182985,18689
,Percent change, ,-1.2,-10.4,-2.1,-1.4,-2.3,-0.6,-5.2,-9,-5.2,5.2
Connecticut,2015,3584730,7938,116,798,585,2925,4099,65610,10286,48898,6426
,2016,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107
,Percent change,,2.3,-32.8,-4.4,-4.1,-7.6,11.7,-1.4,-2.3,-2.8,10.6
Maine,2015,1329453,1726,23,461,337,311,931,24361,4694,18853,814
,2016,1331479,1648,20,412,300,266,950,21912,4003,17134,775
,Percent change,,-4.5,-13,-10.6,-11,-14.5,2,-10.1,-14.7,-9.1,-4.8
Massachusetts,2015,6784240,26453,131,2082,1538,5266,18974,114547,21826,84676,8045
,2016,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058
,Percent change,,-2.9,2.3,2.2,3.5,1.9,-4.9,-7.2,-12.1,-6.6,0.2
New Hampshire,2015,1330111,2692,15,644,468,475,1558,23453,3482,19076,895
,2016,1334795,2637,17,582,423,427,1611,20194,2963,16360,871
,Percent change,,-2,13.3,-9.6,-9.6,-10.1,3.4,-13.9,-14.9,-14.2,-2.7
Rhode Island,2015,1055607,2565,31,467,342,547,1520,20038,3938,14714,1386
,2016,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596
,Percent change, ,-1.6,-6.5,-5.4,-4.1,-1.3,-0.5,0.1,-3.8,-0.3,15.2
Vermont,2015,626088,747,10,150,104,105,482,9064,2034,6834,196
,2016,624594,989,14,178,124,106,691,10602,2103,8217,282
,Percent change,,32.4,40,18.7,19.2,1,43.4,17,3.4,20.2,43.9
Middle Atlantic,2015,41474508,138353,1641,11813,8538,46573,78326,694867,111650,544036,39181
,2016,41473985,136646,1663,12146,8891,43626,79211,666128,100625,526736,38767
,Percent change,,-1.2,1.3,2.8,4.1,-6.3,1.1,-4.1,-9.9,-3.2,-1.1
New Jersey,2015,8935421,22879,363,1373,1019,9729,11414,145701,27960,105963,11778
,2016,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328
,Percent change,,-4.2,2.5,5.8,6.9,-7.7,-2.7,-5.2,-9.6,-4.2,-3.8
New York,2015,19747183,75126,613,6141,4414,23879,44493,317225,44117,257837,15271
,2016,19745289,74285,630,6260,4569,22316,45079,305181,39821,250968,14392
,Percent change, ,-1.1,2.8,1.9,3.5,-6.5,1.3,-3.8,-9.7,-2.7,-5.8
Pennsylvania,2015,12791904,40348,665,4299,3105,12965,22419,231941,39573,180236,12132
,2016,12784227,40447,661,4433,3233,12326,23027,222795,35520,174228,13047
,Percent change,,0.2,-0.6,3.1,4.1,-4.9,2.7,-3.9,-10.2,-3.3,7.5
Midwest,2015,67838387,242893,3422,30827,22395,62201,146443,1555516,307853,1125935,121728
,2016,67941429,257109,3885,31408,23080,64022,157794,1544531,300359,1112596,131576
,Percent change,,5.9,13.5,1.9,3.1,2.9,7.8,-0.7,-2.4,-1.2,8.1
East North Central,2015,46742511,168762,2471,21268,15455,47806,97217,1037945,211221,748309,78415
,2016,46755973,180827,2974,22102,16199,49506,106245,1034762,207962,742358,84442
,Percent change, ,7.1,20.4,3.9,4.8,3.6,9.3,-0.3,-1.5,-0.8,7.7
Illinois,2015,12839047,49755,754,4926,3602,15056,29019,256962,46846,192424,17692
,2016,12801539,55854,1054,4908,3635,17827,32065,262306,47989,194407,19910
,Percent change,,12.3,39.8,-0.4,0.9,18.4,10.5,2.1,2.4,1,12.5
Indiana,2015,6612768,25373,370,2386,1757,7081,15536,171878,34404,123940,13534
,2016,6633053,26845,439,2501,1851,7330,16575,171759,34097,122931,14731
,Percent change,,5.8,18.6,4.8,5.4,3.5,6.7,-0.1,-0.9,-0.8,8.8
Michigan,2015,9917715,41712,585,6710,4782,7818,26599,191191,40375,132019,18797
,2016,9928300,45572,598,7125,5114,7120,30729,189620,39568,129876,20176
,Percent change,,9.3,2.2,6.2,6.9,-8.9,15.5,-0.8,-2,-1.6,7.3
Ohio,2015,11605090,34373,522,5441,3990,12617,15793,303743,69994,216354,17395
,2016,11614373,34877,654,5589,4141,12523,16111,299357,66883,212807,19667
,Percent change,,1.5,25.3,2.7,3.8,-0.7,2,-1.4,-4.4,-1.6,13.1
Wisconsin,2015,5767891,17549,240,1805,1324,5234,10270,114171,19602,83572,10997
,2016,5778708,17679,229,1979,1458,4706,10765,111720,19425,82337,9958
,Percent change,,0.7,-4.6,9.6,10.1,-10.1,4.8,-2.1,-0.9,-1.5,-9.4
West North Central,2015,21095876,74131,951,9559,6940,14395,49226,517571,96632,377626,43313
,2016,21185456,76282,911,9306,6881,14516,51549,509769,92397,370238,47134
,Percent change,  ,2.9,-4.2,-2.6,-0.9,0.8,4.7,-1.5,-4.4,-2,8.8
Iowa,2015,3121997,8619,73,1205,877,1050,6291,64688,14977,45328,4383
,2016,3134693,9110,71,1247,922,1148,6644,65391,15030,45378,4983
,Percent change,,5.7,-2.7,3.5,5.1,9.3,5.6,1.1,0.4,0.1,13.7
Kansas,2015,2906721,11483,126,1684,1226,1823,7850,80059,15619,57435,7005
,2016,2907289,11060,111,1312,971,1671,7966,78367,14364,57066,6937
,Percent change,,-3.7,-11.9,-22.1,-20.8,-8.3,1.5,-2.1,-8,-0.6,-1
Minnesota,2015,5482435,13319,133,2321,1679,3771,7094,121984,19299,94704,7981
,2016,5519952,13394,101,2348,1731,3728,7217,117756,18606,90422,8728
,Percent change,,0.6,-24.1,1.2,3.1,-1.1,1.7,-3.5,-3.6,-4.5,9.4
Missouri,2015,6076204,30292,503,2573,1858,6383,20833,173788,34029,122749,17010
,2016,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295
,Percent change,,4.5,6.8,-0.7,1.4,2.9,5.5,-1.9,-6.8,-1.8,7.6
Nebraska,2015,1893765,5167,62,885,648,994,3226,42597,6443,32148,4006
,2016,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725
,Percent change, ,7.4,-21,12.3,13.9,-4.8,10.4,1.3,0,-0.5,17.9
North Dakota,2015,756835,1949,21,391,285,159,1378,17716,3296,12686,1734
,2016,757952,1903,15,342,256,181,1365,17402,3243,12195,1964
,Percent change,,-2.4,-28.6,-12.5,-10.2,13.8,-0.9,-1.8,-1.6,-3.9,13.3
South Dakota,2015,857919,3302,33,500,367,215,2554,16739,2969,12576,1194
,2016,865454,3621,27,509,379,272,2813,17141,3000,12639,1502
,Percent change,,9.7,-18.2,1.8,3.3,26.5,10.1,2.4,1,0.5,25.8
South,2015,121039206,509043,7300,47277,33960,127149,327317,3393611,719098,2422679,251834
,2016,122319574,526999,7961,49246,35869,128842,340950,3343799,684968,2391288,267543
,Percent change, ,3.5,9.1,4.2,5.6,1.3,4.2,-1.5,-4.7,-1.3,6.2
South Atlantic,2015,63192408,256283,3824,21620,15433,66792,164047,1721061,352328,1246078,122655
,2016,63923309,258672,4077,22333,16174,66402,165860,1692669,330122,1234761,127786
,Percent change,,0.9,6.6,3.3,4.8,-0.6,1.1,-1.6,-6.3,-0.9,4.2
Delaware,2015,944076,4760,62,361,257,1240,3097,25545,4797,19555,1193
,2016,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520
,Percent change,,1.8,-9.7,-14.7,-14,9.6,0.8,3.1,4.7,1.2,27.4
District of Columbia,2015,670377,8538,162,494,365,3746,4136,31444,2971,25208,3265
,2016,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973
,Percent change,,-3.8,-14.2,7.7,9.9,-7.1,-1.8,4,-20.5,8.6,-8.9
Florida,2015,20244914,93625,1041,7552,5396,21137,63895,570270,109268,420341,40661
,2016,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135
,Percent change,,-5.3,6.7,0.6,2.4,-4.6,-6.4,-2.9,-8.2,-2.4,6.1
Georgia,2015,10199398,38891,622,3257,2343,12545,22467,316013,68149,220715,27149
,2016,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801
,Percent change, ,5.4,9.5,7.7,7.9,-2.7,9.5,-2,-7.1,-0.5,-1.3
Maryland,2015,5994983,28185,538,1717,1209,10111,15819,142547,26432,102701,13414
,2016,6016447,28400,481,1756,1266,10289,15874,137445,24692,100919,11834
,Percent change,,0.8,-10.6,2.3,4.7,1.8,0.3,-3.6,-6.6,-1.7,-11.8
North Carolina,2015,10035186,34734,517,2591,1886,8821,22805,275915,74760,187732,13423
,2016,10146788,37769,678,2849,2086,9336,24906,277765,72082,190377,15306
,Percent change,,8.7,31.1,10,10.6,5.8,9.2,0.7,-3.6,1.4,14
South Carolina,2015,4894834,24448,407,2439,1717,3950,17652,162830,34942,114778,13110
,2016,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920
,Percent change,,1.8,-10.1,-2.1,-0.3,2.2,2.6,-1.2,-5.6,-0.6,6.2
Virginia,2015,8367587,16705,390,2499,1767,4459,9357,157803,21542,128064,8197
,2016,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788
,Percent change,,9.6,24.1,9.5,11.2,7.7,9.8,-0.9,-7.1,-1.1,19.4
West Virginia,2015,1841053,6397,85,710,493,783,4819,38694,9467,26984,2243
,2016,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509
,Percent change,,2.5,-4.7,-7.5,-5.1,-8,5.8,-3.1,-1.8,-4.8,11.9
East South Central,2015,18862932,81850,1238,7640,5497,17737,55235,524162,126612,362030,35520
,2016,18940194,86674,1391,7548,5455,18265,59470,513087,118565,353470,41052
,Percent change,,5.9,12.4,-1.2,-0.8,3,7.7,-2.1,-6.4,-2.4,15.6
Alabama,2015,4853875,22957,348,2037,1449,4612,15960,144785,35265,99182,10338
,2016,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723
,Percent change,,12.8,17,-5.9,-4.4,1.6,18.3,-1,-3.4,-1.6,13.4
Kentucky,2015,4424611,9887,219,1644,1165,3314,4710,97545,22526,67143,7876
,2016,4436974,10308,260,1641,1174,3369,5038,97158,20834,66438,9886
,Percent change,,4.3,18.7,-0.2,0.8,1.7,7,-0.4,-7.5,-1,25.5
Mississippi,2015,2989390,8190,253,1158,851,2312,4467,85785,25068,56446,4271
,2016,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324
,Percent change,,2.4,-5.9,10.3,6.3,3.7,0.1,-3.6,-6.8,-2.5,1.2
Tennessee,2015,6595056,40816,418,2801,2032,7499,30098,196047,43753,139259,13035
,2016,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119
,Percent change,,3.1,16.3,-3.1,-2,4.2,3.3,-3.2,-7.9,-3.5,16
West South Central,2015,38983866,170910,2238,18017,13030,42620,108035,1148388,240158,814571,93659
,2016,39456071,181653,2493,19365,14240,44175,115620,1138043,236281,803057,98705
,Percent change,,6.3,11.4,7.5,9.3,3.6,7,-0.9,-1.6,-1.4,5.4
Arkansas,2015,2977853,15769,189,2008,1425,2117,11455,97391,22851,68720,5820
,2016,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155
,Percent change,,4.4,14.3,6.7,8.4,0.1,4.6,0.3,4,-2.9,22.9
Louisiana,2015,4668960,25202,492,1733,1246,5561,17416,157708,35457,112520,9731
,2016,4681666,26502,554,1816,1328,5576,18556,154386,34667,109380,10339
,Percent change,,5.2,12.6,4.8,6.6,0.3,6.5,-2.1,-2.2,-2.8,6.2
Oklahoma,2015,3907414,16746,240,1953,1418,3018,11535,114055,28783,74678,10594
,2016,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155
,Percent change,,5.4,2.1,4.4,6.4,4.8,5.8,2.6,1.1,1.5,14.7
Texas,2015,27429639,113193,1317,12323,8941,31924,67629,779234,153067,558653,67514
,2016,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056
,Percent change,,6.9,12.2,8.5,10.3,4.4,7.8,-1.3,-2.8,-1.3,2.3
West,2015,75834288,301773,3194,31615,22994,82557,184407,2123048,402703,1437787,282558
,2016,76657000,320706,3449,33298,24562,86301,197658,2120808,387049,1424850,308909
,Percent change,,6.3,8,5.3,6.8,4.5,7.2,-0.1,-3.9,-0.9,9.3
Mountain,2015,23492558,94784,917,12938,9424,20236,60693,662713,125323,470974,66416
,2016,23855067,102674,1124,13126,9689,21739,66685,675111,122629,474519,77963
,Percent change,,8.3,22.6,1.5,2.8,7.4,9.9,1.9,-2.1,0.8,17.4
Arizona,2015,6817565,27968,306,3109,2268,6360,18193,207184,38010,152388,16786
,2016,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421
,Percent change,,16.5,24.2,5.8,8.1,10.9,20.1,-0.4,-0.7,-1.4,9.7
Colorado,2015,5448819,17348,173,3328,2422,3315,10532,144044,23490,104532,16022
,2016,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611
,Percent change,,9.4,17.9,6.8,8.1,6.4,11.1,5.4,1.8,3.6,22.4
Idaho,2015,1652828,3593,32,703,508,191,2667,28912,6124,20916,1872
,2016,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077
,Percent change,,7.9,53.1,2.3,4.1,11.5,8.5,1.5,3.2,0.2,11
Montana,2015,1032073,3647,38,572,405,210,2827,27276,3887,20966,2423
,2016,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743
,Percent change,,5.3,-5.3,1,2.2,26.7,4.7,2.6,1.2,1.6,13.2
Nevada,2015,2883758,20118,178,1688,1232,6287,11965,77137,22360,43426,11351
,2016,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180
,Percent change,,-0.9,25.8,2.7,4.9,0.8,-2.7,-1.4,-15.7,1.4,16.1
New Mexico,2015,2080328,13672,117,1663,1218,2485,9407,77212,17084,51485,8643
,2016,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743
,Percent change,,6.9,18.8,-8.2,-8.3,10.1,8.6,6.1,1.2,2.8,35.9
Utah,2015,2990632,7138,57,1704,1247,1329,4048,89797,12606,68464,8727
,2016,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388
,Percent change,,3.8,26.3,-10.8,-10.5,16,5.6,0.3,1.8,-0.9,7.6
Wyoming,2015,586555,1300,16,171,124,59,1054,11151,1762,8797,592
,2016,585501,1430,20,205,150,59,1146,11460,1771,8889,800
,Percent change,,10,25,19.9,21,0,8.7,2.8,0.5,1,35.1
Pacific,2015,52341730,206989,2277,18677,13570,62321,123714,1460335,277380,966813,216142
,2016,52801933,218032,2325,20172,14873,64562,130973,1445697,264420,950331,230946
,Percent change,,5.3,2.1,8,9.6,3.6,5.9,-1,-4.7,-1.7,6.8
Alaska,2015,737709,5391,59,900,648,761,3671,20806,3511,15249,2046
,2016,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057
,Percent change, ,10.7,-11.9,17,16.8,11.7,9.3,19.6,15.4,16.5,49.4
California,2015,38993940,166883,1861,12811,9341,52862,99349,1024914,197404,656517,170993
,2016,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756
,Percent change,,4.7,3.7,7,8.7,3.6,5.1,-2.2,-4.6,-3,3.4
Hawaii,2015,1425157,3530,29,538,382,1085,1878,45389,6810,33140,5439
,2016,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654
,Percent change,,25.1,20.7,15.1,17,-8.4,47.4,-5.8,-11.6,-6.2,4
Oregon,2015,4024634,10680,110,1650,1193,2163,6757,119752,18541,90514,10697
,2016,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193
,Percent change,,1.4,2.7,4.3,5.7,5.3,-0.6,1.3,-9,0.9,23.3
Washington,2015,7160290,20505,218,2778,2006,5450,12059,249474,51114,171393,26967
,2016,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286
,Percent change,,7.4,-10.6,10.8,12.6,3.7,8.6,2.1,-3.8,1,19.7
Puerto Rico,2015,3473181,7629,584,165,123,4070,2810,37717,9150,24493,4074
,2016,3411307,7643,679,169,128,3201,3594,35201,8251,23163,3787
,Percent change, ,0.2,16.3,2.4,4.1,-21.4,27.9,-6.7,-9.8,-5.4,-7
